"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2020","Abilene Christian",70.4017,105,68.4092,172,101.45,159,99.0562,239,96.1085,67,100.198,126,-1.14144,184
"2020","Air Force",68.9032,183,68.7757,147,104.915,89,107.785,76,109.997,332,110.273,316,-2.48752,197
"2020","Akron",70.1211,118,69.433,110,106.776,58,108.476,66,95.6119,57,98.9396,103,9.53601,82
"2020","Alabama",76.0855,4,74.7606,4,105.997,71,110.969,37,102.172,221,99.471,114,11.4984,60
"2020","Alabama A&M",69.646,137,67.7433,213,88.2169,347,87.9342,348,101.915,216,108.154,297,-20.2196,343
"2020","Alabama St.",70.7844,83,69.6997,97,86.7135,348,86.2453,350,100.727,178,103.435,198,-17.19,332
"2020","Albany",69.3586,153,68.5031,166,94.8472,308,94.3221,316,99.0676,139,103.874,208,-9.5521,282
"2020","Alcorn St.",72.1036,43,70.074,82,95.8454,285,96.9478,271,103.007,239,111.304,322,-14.3562,324
"2020","American",68.9366,181,68.6583,159,103.464,120,101.142,202,100.194,168,104.023,212,-2.88095,203
"2020","Appalachian St.",68.3476,222,67.1842,240,98.1654,230,99.937,220,99.2307,146,100.204,127,-0.266645,175
"2020","Arizona",70.3449,109,69.3338,115,107.599,49,111.016,35,92.4289,15,91.4167,14,19.5991,19
"2020","Arizona St.",73.6484,23,73.2413,14,100.091,191,105.993,108,96.0767,64,94.6962,49,11.2968,63
"2020","Arkansas",71.4214,61,71.21,45,104.658,95,109.08,55,96.1555,68,95.4879,57,13.5925,47
"2020","Arkansas Pine Bluff",67.4501,259,66.0681,284,78.2085,353,78.9897,353,100.754,180,104.62,223,-25.6305,348
"2020","Arkansas St.",68.2577,225,67.2799,237,102.541,137,104.181,148,105.781,292,107.472,284,-3.29048,206
"2020","Army",69.7212,132,69.4783,106,100.685,178,98.8107,242,103.992,262,107.44,281,-8.62907,264
"2020","Auburn",70.4532,100,69.2325,127,108.29,33,111.366,33,97.7105,106,95.457,55,15.9091,33
"2020","Austin Peay",69.1179,170,67.785,209,108.392,31,106.931,90,103.669,253,106.953,275,-0.0212657,172
"2020","Ball St.",69.0713,173,67.9694,200,100.195,190,99.227,235,91.5148,12,93.9749,37,5.25201,116
"2020","Baylor",66.6472,289,66.1893,277,106.251,66,113.545,17,90.0942,7,88.056,4,25.4894,3
"2020","Belmont",72.2824,42,70.4594,65,109.007,25,106.527,97,94.3339,38,100.508,132,6.01954,109
"2020","Bethune Cookman",74.0338,18,73.0099,20,96.5614,267,95.3903,298,98.2839,122,105.785,254,-10.3945,292
"2020","Binghamton",68.9122,182,68.581,164,97.6077,240,99.6595,224,112.897,344,116.883,346,-17.2235,333
"2020","Boise St.",69.7291,131,69.0914,133,104.541,99,107.043,88,99.1382,141,97.6459,81,9.39719,83
"2020","Boston College",69.6348,138,69.2894,120,92.5471,329,99.5736,228,101.395,195,100.252,128,-0.677976,179
"2020","Boston University",66.5364,299,66.331,272,104.628,97,103.35,166,99.6037,154,102.571,186,0.779222,159
"2020","Bowling Green",70.8649,76,70.093,81,102.779,133,104.319,146,102.315,222,103.99,210,0.329572,168
"2020","Bradley",67.1193,271,67.0529,244,105.048,85,106.772,92,97.8193,110,100.679,134,6.09283,107
"2020","Brown",69.8697,121,69.3517,113,95.0075,303,96.4183,278,99.2672,148,101.112,143,-4.69364,224
"2020","Bryant",70.1835,116,70.3003,71,99.0159,213,97.8141,257,98.7415,130,103.842,206,-6.02749,234
"2020","Bucknell",69.8279,126,69.4555,107,96.9337,260,96.1717,285,101.611,200,102.851,189,-6.67914,242
"2020","Buffalo",74.6123,8,73.9297,8,103.306,123,104.136,151,101.024,187,102.291,175,1.84447,148
"2020","Butler",64.5213,339,63.7391,341,105.931,72,112.632,25,95.9432,63,94.2425,42,18.3891,25
"2020","BYU",69.6927,133,69.4539,108,112.145,5,116.287,7,96.9541,92,95.6094,60,20.6778,13
"2020","Cal Baptist",69.3988,149,68.6046,162,108.273,34,105.35,124,101.911,214,108.085,295,-2.73464,202
"2020","Cal Poly",68.2282,228,68.3304,175,93.5816,320,95.2294,301,107.848,316,108.482,302,-13.2526,315
"2020","Cal St. Bakersfield",65.4912,330,64.9429,321,97.5685,241,96.1511,286,103.403,248,104.852,228,-8.7005,266
"2020","Cal St. Fullerton",69.1734,168,69.3361,114,94.3715,314,95.9211,292,102.005,217,104.464,218,-8.54327,263
"2020","Cal St. Northridge",70.9421,74,70.2594,74,105.495,78,107.406,82,112.59,342,113.27,336,-5.86396,233
"2020","California",65.696,322,65.1669,315,95.0748,301,101.539,195,103.914,261,100.435,130,1.1036,153
"2020","Campbell",66.6015,292,65.6004,306,100.533,180,96.7799,275,100.713,177,105.276,239,-8.49618,262
"2020","Canisius",70.3164,110,69.9928,86,97.4692,245,97.7367,259,100.763,181,105.702,249,-7.9655,258
"2020","Central Arkansas",75.8581,5,73.1824,15,96.4118,273,97.9961,256,107.116,310,107.559,285,-9.5625,283
"2020","Central Connecticut",70.5083,97,69.5097,104,88.4563,346,90.294,342,110.64,336,113.963,340,-23.6693,347
"2020","Central Michigan",74.3921,11,73.6316,11,100.773,175,102.002,187,105.353,283,106.403,264,-4.40081,216
"2020","Charleston",66.6492,288,65.8689,295,105.013,87,104.962,129,103.292,246,104.883,229,0.0791668,170
"2020","Charleston Southern",67.8773,238,66.9336,250,97.2625,253,95.4437,296,105.915,293,109.054,308,-13.6104,318
"2020","Charlotte",66.612,290,65.5396,307,98.1107,231,98.5013,247,95.8259,60,98.049,84,0.452243,164
"2020","Chattanooga",68.2349,227,67.0093,248,105.356,81,106.629,93,102.462,230,104.764,225,1.86502,147
"2020","Chicago St.",69.3976,150,68.9879,135,83.7703,350,86.8504,349,120.471,353,120.836,351,-33.9859,353
"2020","Cincinnati",68.8441,185,67.9867,199,102.293,142,108.762,59,94.355,40,94.744,51,14.0177,44
"2020","Clemson",66.5929,294,65.9634,290,98.6067,220,103.896,155,95.2427,53,93.4755,33,10.4201,72
"2020","Cleveland St.",68.9558,178,67.1429,241,91.8868,335,92.8885,329,104.21,267,105.714,250,-12.8253,313
"2020","Coastal Carolina",73.2952,27,72.7656,26,103.64,112,104.825,134,104.483,270,106.156,261,-1.33104,190
"2020","Colgate",68.6388,201,68.4977,168,109.914,17,107.205,86,99.5503,153,102.475,182,4.73015,118
"2020","Colorado",68.1237,231,68.1682,188,103.358,122,109.087,54,93.9433,31,93.3736,32,15.7133,35
"2020","Colorado St.",69.6801,134,69.3305,116,106.055,69,109.27,52,102.444,229,102.12,172,7.1499,99
"2020","Columbia",69.3964,151,69.0956,132,93.5136,321,95.1935,302,104.253,268,106.461,267,-11.2673,299
"2020","Connecticut",68.9536,179,68.5023,167,102.865,132,108.566,64,94.1037,34,95.5985,59,12.9677,52
"2020","Coppin St.",74.394,10,73.3838,12,90.5161,342,89.6252,346,99.1629,143,105.289,240,-15.6637,327
"2020","Cornell",65.8071,319,65.1741,314,98.7567,217,101.179,198,108.757,326,110.276,317,-9.09701,274
"2020","Creighton",69.8221,127,68.2962,178,111.053,10,118.223,3,100.585,176,97.2912,78,20.9317,12
"2020","Dartmouth",66.2876,303,65.773,298,95.2933,298,96.7157,276,96.6884,84,99.8919,121,-3.17622,205
"2020","Davidson",65.5694,325,64.7579,330,108.645,27,112.483,26,100.256,170,101.859,163,10.6244,70
"2020","Dayton",68.036,233,67.5583,220,116.36,2,119.051,2,93.7224,25,94.118,38,24.9328,4
"2020","Delaware",68.5229,209,68.2671,182,107.052,54,105.637,116,103.736,255,106.414,265,-0.777577,180
"2020","Delaware St.",76.2337,3,74.6834,5,94.7161,310,94.0641,323,109.554,329,117.179,347,-23.115,346
"2020","Denver",71.4824,60,70.9285,53,95.3122,297,95.0381,303,106.576,302,106.785,274,-11.7466,305
"2020","DePaul",71.7408,53,70.5505,63,97.3446,251,103.377,165,99.1703,144,95.4771,56,7.89978,94
"2020","Detroit",70.5484,95,69.3247,117,99.1409,209,99.8949,221,110.116,333,111.739,326,-11.8437,306
"2020","Drake",67.3408,262,67.8782,204,100.43,185,101.972,189,100.564,175,101.349,155,0.623125,163
"2020","Drexel",67.7216,244,67.3321,235,99.7107,198,99.9738,219,104.564,274,106.732,271,-6.7583,244
"2020","Duke",72.7993,31,71.9623,34,111.891,6,115.725,9,91.3914,11,91.1058,12,24.6197,5
"2020","Duquesne",67.6547,247,67.7756,211,104.719,94,106.598,94,97.0431,96,99.0147,104,7.58319,95
"2020","East Carolina",70.6744,87,70.5926,62,95.5642,292,99.6095,227,101.872,213,104.026,213,-4.41683,217
"2020","East Tennessee St.",67.4919,258,66.1035,281,109.679,19,108.248,69,95.9234,62,96.0159,65,12.232,56
"2020","Eastern Illinois",70.4466,101,69.1347,129,101.999,150,98.1503,253,98.8872,133,104.515,220,-6.36474,238
"2020","Eastern Kentucky",75.6173,6,74.4965,6,95.6937,287,95.4321,297,101.67,202,104.891,230,-9.45887,280
"2020","Eastern Michigan",67.6674,245,66.838,254,91.565,336,94.2328,318,96.8935,90,96.5707,70,-2.33785,196
"2020","Eastern Washington",73.576,24,73.0738,18,104.979,88,105.418,120,99.7337,156,101.099,142,4.31938,124
"2020","Elon",66.4805,301,66.1853,278,100.045,194,100.607,208,108.307,322,109.956,313,-9.34916,277
"2020","Evansville",67.7658,243,67.5886,217,95.0153,302,96.8703,274,106.848,309,107.431,280,-10.5609,294
"2020","Fairfield",63.5532,350,63.1876,346,90.2252,344,90.0554,344,97.6929,104,101.649,161,-11.5931,301
"2020","Fairleigh Dickinson",69.0498,174,68.8902,142,102.171,147,102.144,186,108.303,321,112.378,331,-10.2336,289
"2020","FIU",72.4923,38,72.2007,30,102.148,149,103.681,157,99.8003,159,102.1,170,1.58059,149
"2020","Florida",66.2359,304,64.8634,326,107.35,50,112.467,27,98.9776,136,95.6807,61,16.7864,32
"2020","Florida A&M",70.7598,84,68.6447,160,93.1482,325,94.4258,311,101.388,194,107.271,279,-12.8453,314
"2020","Florida Atlantic",69.6054,141,68.7826,146,98.3956,225,99.6563,225,99.0496,138,101.315,151,-1.65902,191
"2020","Florida Gulf Coast",66.2196,307,66.0629,286,90.8363,338,91.2389,340,99.7361,158,103.263,194,-12.0237,310
"2020","Florida St.",69.6206,139,69.9021,89,107.081,53,111.709,32,93.5945,24,91.491,15,20.2178,15
"2020","Fordham",65.2362,333,64.8225,328,88.6168,345,89.1301,347,93.7415,26,95.9206,64,-6.79051,245
"2020","Fresno St.",65.0013,334,64.1994,338,103.18,127,105.096,127,105.088,280,104.068,214,1.02826,157
"2020","Furman",69.2065,166,68.196,187,108.242,35,107.665,78,96.4258,79,98.0748,85,9.59043,81
"2020","Gardner Webb",66.8448,281,66.1797,279,104.578,98,102.235,181,103.858,260,106.716,270,-4.48099,218
"2020","George Mason",67.4377,261,67.0194,246,98.9697,214,101.291,197,100.164,167,101.327,153,-0.0352233,174
"2020","George Washington",66.7141,283,66.6051,264,96.0341,280,99.2163,236,103.683,254,105.756,253,-6.53994,241
"2020","Georgetown",71.5504,58,69.9856,87,104.463,100,111.004,36,103.619,251,100.182,125,10.8218,67
